organism,mol_type,isolate,isolation_source,host,db_xref,country,date,strain,file,accession,collected_by,note,lat_lon,clone,chromosome,identified_by,lab_host,md5sum,file_name,guid,file_size
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW-5158/2020,NP/OP swab,Homo sapiens,taxon:2697049,USA,2020-04-02,SARS-CoV-2/human/USA/WA-UW-5158/2020-MT375478.gb,MT375478.gb,MT375478,,,,,,,,7480a6d3ab26dc2e8ff77f82c6686546,MT375478.gb,dg.63D5/bdf82ada-319c-480a-82c5-2c9ae065787a,65977
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/45_35378/2020,,Homo sapiens,taxon:2697049,Greece,2020-03-18,SARS-CoV-2/human/GRC/45_35378/2020-MT459906.gb,MT459906.gb,MT459906,,,,,,,,33e1761918cd52750ad84c757555b853,MT459906.gb,dg.63D5/6f01f753-419e-4429-ae91-648415a63207,66103
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/UT-00367/2020,,Homo sapiens,taxon:2697049,USA,2020-03-28,SARS-CoV-2/human/USA/UT-00367/2020-MT444566.gb,MT444566.gb,MT444566,,,,,,,,c882bdd5db0897cb927277a596487342,MT444566.gb,dg.63D5/b5f9403e-4a49-4ddc-8d6b-b0e05ba2e410,66206
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00471/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-04,SARS-CoV-2/human/USA/MA_MGH_00471/2020-MT520243.gb,MT520243.gb,MT520243,Massachusetts General Hospital,,,,,,,30a55e13e6e8256975238ec6a0a59feb,MT520243.gb,dg.63D5/46277071-f3e0-4bc8-ae3f-101926820e62,67474
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/GRC/51_36518/2020,,Homo sapiens,taxon:2697049,Greece,2020-03-26,SARS-CoV-2/human/GRC/51_36518/2020-MT459846.gb,MT459846.gb,MT459846,,,,,,,,94200645384da50cc95da2792469723b,MT459846.gb,dg.63D5/2d748ddc-8185-4b7b-bd17-2425c89f61ef,66063
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-1012/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-04-22,SARS-CoV-2/human/USA/CA-CZB-1012/2020-MT438730.gb,MT438730.gb,MT438730,,,,,,,,471a403b15dbc34086bd2c81ec05a52c,MT438730.gb,dg.63D5/c0de0ec7-6b9f-4462-a01d-cabe04999e83,65948
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/MA_MGH_00423/2020,nasopharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-07,SARS-CoV-2/human/USA/MA_MGH_00423/2020-MT520303.gb,MT520303.gb,MT520303,Massachusetts General Hospital,,,,,,,0bb38b395c7e8bffe1a5c497f1f2222f,MT520303.gb,dg.63D5/2e380d58-f544-4b81-bcdb-b8645074d6e5,68377
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/CA-CZB-IX00009/2020,nasopharyngeal/oropharyngeal swab,Homo sapiens,taxon:2697049,USA,2020-03-25,SARS-CoV-2/human/USA/CA-CZB-IX00009/2020-MT385461.gb,MT385461.gb,MT385461,,,,,,,,2e0553ae3d1af69cf27d00b573fa27dd,MT385461.gb,dg.63D5/9c7dbdc0-00d0-43f2-b043-71e5fb995480,65933
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW305/2020,,Homo sapiens,taxon:2697049,USA,2020-03-23,SARS-CoV-2/human/USA/WA-UW305/2020-MT263388.gb,MT263388.gb,MT263388,,,,,,,,471e06faed3ba104d01fb44006a114c8,MT263388.gb,dg.63D5/33b72812-0aba-44f2-9818-f66244c5312a,62814
Severe acute respiratory syndrome coronavirus 2,genomic RNA,SARS-CoV-2/human/USA/WA-UW181/2020,,Homo sapiens,taxon:2697049,USA,2020-03-14,SARS-CoV-2/human/USA/WA-UW181/2020-MT252711.gb,MT252711.gb,MT252711,,,,,,,,120e14e7e72e65673b80a81e71172431,MT252711.gb,dg.63D5/d71b3f61-3247-43aa-bc88-1275fa0c39d8,66071
