[INFO] [20200721 18:22:49] [gen3_augur_pyutils.ParseGenBank] - None
[INFO] [20200721 18:32:39] [gen3_augur_pyutils.ParseGenBank] - None
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - Parse Manifest file data/genomic_file_072120_manifest.json
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - AY350750.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - KF514392.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - AY304486.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - AY613950.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - AY394994.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - FJ882940.gb is not Covid19 sample, remove the file
[ERROR] [20200721 18:32:40] [gen3_augur_pyutils.ParseGenBank] - No location information, remove LC528232.gb
[INFO] [20200721 18:32:41] [gen3_augur_pyutils.ParseGenBank] - AY395001.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:41] [gen3_augur_pyutils.ParseGenBank] - KY417149.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:41] [gen3_augur_pyutils.ParseGenBank] - AY463060.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:41] [gen3_augur_pyutils.ParseGenBank] - AY283794.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:42] [gen3_augur_pyutils.ParseGenBank] - JF292916.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:42] [gen3_augur_pyutils.ParseGenBank] - AY390556.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY313906.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - JF292922.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY559089.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - FJ882950.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY394984.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - FJ882935.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY394977.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - FJ882944.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY502929.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - DJ045279.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - KF514396.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY310120.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - AY394990.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:43] [gen3_augur_pyutils.ParseGenBank] - JF292902.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - AY345986.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - AY864805.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - MK062179.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - HQ890528.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - GU553365.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - AY279354.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - HQ890538.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - AH013709.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - JF292912.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - DQ412042.gb is not Covid19 sample, remove the file
[INFO] [20200721 18:32:44] [gen3_augur_pyutils.ParseGenBank] - AY394980.gb is not Covid19 sample, remove the file
